SeriesCode,Year,DESCRIPTION
"SP.UWT.TFRT","YR1990","Averages for regions/groups are based on country-level data around 1990."
"SP.UWT.TFRT","YR2000","Averages for regions/groups are based on country-level data around 2000."
"SP.UWT.TFRT","YR2010","Averages for regions/groups are based on country-level data around 2010."
"ER.PTD.TOTL.ZS","YR2016","Reflects data that was available in the Protected Planet API in January 2017."
"ER.PTD.TOTL.ZS","YR2017","Reflects data that was available in the Protected Planet API in August 2018."
"ER.PTD.TOTL.ZS","YR2018","Reflects data that was available in the Protected Planet API in March 2019."
"SP.UWT.TFRT","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-)."
